"Kreditkarte:";"FTL Credit Card / *7734";

"Zeitraum:";"01.01.2019 - 04.04.2020";
"Saldo:";"-24,64";
"Datum:";"03.04.2020";

"Belegdatum";"Wertstellung";"Beschreibung";"Betrag (EUR)";"Ursprünglicher Betrag";"Umrechnungskurs";"Umsatz abgerechnet";
"05.09.2019";"06.09.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"05.09.2019";"06.09.2019";"SWAPFIETS DELFT B.V. C";"-17,50";"";"";"Ja";
"05.09.2019";"06.09.2019";"Schloss Eckberg GmbH";"-85,50";"";"";"Ja";
"05.09.2019";"06.09.2019";"SumUp  *Taxibtrieb Hol";"-29,40";"";"";"Ja";
"03.09.2019";"04.09.2019";"DEAN&DAVID M ARNULFPAR";"-9,75";"";"";"Ja";
"02.09.2019";"13.09.2019";"TAXIBETRIEB SYLVIA VES";"-41,20";"";"";"Ja";
"02.09.2019";"03.09.2019";"IZ *Taxi Folwark Bogus";"-72,00";"";"";"Ja";
"02.09.2019";"03.09.2019";"Taxi München";"-74,00";"";"";"Ja";
"02.09.2019";"03.09.2019";"FUNK TAXI DRESDEN";"-42,00";"";"";"Ja";
"02.09.2019";"03.09.2019";"4URBS E4 T2";"-16,05";"";"";"Ja";
"31.08.2019";"02.09.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"31.08.2019";"02.09.2019";"SWM/MVG ONLINESERVICES";"-1,50";"";"";"Ja";
"28.08.2019";"29.08.2019";"SPAR EXPRESS CONTAINER";"-7,27";"";"";"Ja";
"28.08.2019";"29.08.2019";"DB BAHN  A-NR MKCULR";"-49,50";"";"";"Ja";
"28.08.2019";"29.08.2019";"Achalm Hotel GmbH & Co";"-130,50";"";"";"Ja";
"27.08.2019";"28.08.2019";"TAXI AUTOZENTRALE";"-92,00";"";"";"Ja";
"27.08.2019";"28.08.2019";"Taxi München";"-16,00";"";"";"Ja";
"27.08.2019";"28.08.2019";"YORMAS AG";"-7,10";"";"";"Ja";
"23.08.2019";"26.08.2019";"DB BAHN  A-NR OXW661";"-37,90";"";"";"Ja";
"22.08.2019";"23.08.2019";"LIM*RIDE COST";"-1,50";"";"";"Ja";
"22.08.2019";"23.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"22.08.2019";"22.08.2019";"LIM*RIDE COST";"-4,25";"";"";"Ja";
"20.08.2019";"21.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"20.08.2019";"21.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"20.08.2019";"21.08.2019";"VOI TECHNOLOGY GERMANY";"-2,50";"";"";"Ja";
"19.08.2019";"20.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"19.08.2019";"20.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"19.08.2019";"20.08.2019";"DB BAHN  A-NR 9TX388";"-138,00";"";"";"Ja";
"17.08.2019";"19.08.2019";"VOI TECHNOLOGY GERMANY";"-1,45";"";"";"Ja";
"17.08.2019";"19.08.2019";"Helpling Vermittlungsp";"-58,75";"";"";"Ja";
"17.08.2019";"19.08.2019";"LIM*RIDE COST";"-3,75";"";"";"Ja";
"17.08.2019";"19.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"16.08.2019";"17.08.2019";"UEBERTRG.SALDO ALTE KARTE";"-5,41";"";"";"Ja";
"16.08.2019";"17.08.2019";"UEBERTRG.SALDO ALTE KARTE";"-775,03";"";"";"Ja";
"16.08.2019";"19.08.2019";"CLASSPASS MONTHLY";"-29,00";"";"";"Ja";
"16.08.2019";"19.08.2019";"AMZN Mktp DE*MH2LX1IG4";"-15,99";"";"";"Ja";
"16.08.2019";"19.08.2019";"Amazon.de";"-42,38";"";"";"Ja";
"16.08.2019";"19.08.2019";"SWM/MVG ONLINESERVICES";"-2,90";"";"";"Ja";
"16.08.2019";"19.08.2019";"VOI TECHNOLOGY GERMANY";"-2,35";"";"";"Ja";
"16.08.2019";"19.08.2019";"WECIRC";"-2,00";"";"";"Ja";
"16.08.2019";"17.08.2019";"Lastschrift";"780,44";"";"";"Ja";
"08.08.2019";"23.08.2019";"DB FERNVERKEHR AG";"-4,90";"";"";"Ja";
